epoch,train_loss,dev_f1,dev_precision,dev_recall
1,23.991859449063494,0.0,0.0,0.0
2,8.417246314345814,0.0,0.0,0.0
3,6.321854989385344,0.32989690721649484,0.4630225080385852,0.25622775800711745
4,4.4064359938512085,0.6881355932203389,0.656957928802589,0.7224199288256228
5,2.7883133731904577,0.8087719298245614,0.7975778546712803,0.8202846975088968
6,1.9315703781576103,0.8240574506283662,0.8315217391304348,0.8167259786476868
7,1.6915071987714925,0.8229074889867842,0.8150087260034904,0.8309608540925267
8,1.3760137688266776,0.7927631578947368,0.7370030581039755,0.8576512455516014
9,1.2638184164391189,0.7868852459016393,0.729483282674772,0.8540925266903915
10,1.2467696262839063,0.8616740088105727,0.8534031413612565,0.8701067615658363
11,1.04588034244183,0.8515021459227469,0.8225538971807629,0.8825622775800712
12,0.9957324259919547,0.8588957055214723,0.846286701208981,0.8718861209964412
13,0.7601813279865869,0.8720626631853786,0.8534923339011925,0.891459074733096
14,0.7090709769660658,0.8394415357766143,0.8236301369863014,0.8558718861209964
15,0.6416485596224258,0.8524590163934427,0.8274706867671692,0.8790035587188612
16,0.5799230539082177,0.8527131782945737,0.8263772954924875,0.8807829181494662
17,0.5618929693607685,0.8591800356506238,0.8607142857142858,0.8576512455516014
18,0.4705195205459178,0.8383751080380293,0.8151260504201681,0.8629893238434164
19,0.4051018217222287,0.8432708688245315,0.8088235294117647,0.8807829181494662
20,0.3509895436750735,0.8596187175043327,0.8378378378378378,0.8825622775800712
21,0.42609605763127895,0.8524871355060034,0.8228476821192053,0.8843416370106761
22,0.5676541966818721,0.8561702127659574,0.8205546492659054,0.895017793594306
23,0.4848638740393633,0.852575488454707,0.851063829787234,0.8540925266903915
24,0.3023040933035762,0.8668407310704962,0.848381601362862,0.8861209964412812
25,0.25454325233000874,0.8778761061946903,0.8732394366197183,0.8825622775800712
26,0.2599127735596537,0.8423772609819121,0.8163606010016694,0.8701067615658363
27,0.2768450617138805,0.8661417322834646,0.8519793459552496,0.8807829181494662
28,0.22208854539798256,0.882661996497373,0.8689655172413793,0.896797153024911
29,0.285997887126735,0.8598781549173193,0.8415672913117547,0.8790035587188612
30,0.6057891337597956,0.855390008764242,0.842832469775475,0.8683274021352313
31,0.20535625004377522,0.8678260869565217,0.8486394557823129,0.8879003558718861
32,0.2852078409142833,0.8700173310225304,0.847972972972973,0.8932384341637011
33,0.18029539311518433,0.8687392055267702,0.8439597315436241,0.895017793594306
34,0.4908263930857507,0.7108655616942909,0.7366412213740458,0.6868327402135231
35,1.442186440275015,0.8688670829616414,0.8711985688729875,0.8665480427046264
36,0.19116681130205998,0.8711111111111112,0.8703374777975134,0.8718861209964412
37,0.18921624767324313,0.8618592528236317,0.8421052631578947,0.8825622775800712
38,0.1830882153224424,0.8458225667527993,0.8196994991652755,0.8736654804270463
39,0.14015295205871917,0.8467400508044031,0.8077544426494345,0.8896797153024911
40,0.15109592057316681,0.8656195462478184,0.8493150684931506,0.8825622775800712
41,0.1375703915872209,0.8573913043478261,0.8384353741496599,0.8772241992882562
42,0.17935799640384528,0.8620071684587813,0.868231046931408,0.8558718861209964
43,0.135197428406262,0.8704028021015762,0.8568965517241379,0.8843416370106761
