epoch,train_loss,dev_f1,dev_precision,dev_recall
1,41.02493033201798,0.043449637919684,0.024780976220275343,0.17615658362989323
2,32.818359893301256,0.027149321266968323,0.0891089108910891,0.01601423487544484
3,13.80762647545856,0.0,0.0,0.0
4,9.739994225294694,0.006993006993006994,0.2,0.0035587188612099642
5,8.23832374552022,0.1683599419448476,0.4566929133858268,0.10320284697508897
6,6.814350895259691,0.3164251207729469,0.4924812030075188,0.23309608540925267
7,5.641649500183437,0.4364060676779463,0.6338983050847458,0.33274021352313166
8,4.592820670293725,0.5198711063372717,0.6558265582655827,0.4306049822064057
9,3.6552930759347,0.5970772442588727,0.7222222222222222,0.5088967971530249
10,2.845428969549096,0.6222684703433923,0.7493734335839599,0.5320284697508897
11,2.3346598303836323,0.6208291203235591,0.7189695550351288,0.5462633451957295
12,1.8232959495938343,0.6551373346897253,0.7648456057007126,0.5729537366548043
13,1.4678635791591976,0.6717411988582302,0.721881390593047,0.6281138790035588
14,1.16612457840339,0.6841085271317829,0.7510638297872341,0.6281138790035588
15,0.952923595905304,0.6877470355731224,0.7733333333333333,0.6192170818505338
16,0.8002621065015378,0.6941986234021633,0.7758241758241758,0.6281138790035588
17,0.6720791549786277,0.7161654135338347,0.7589641434262948,0.6779359430604982
18,0.5431748213975326,0.7144240077444337,0.7834394904458599,0.6565836298932385
19,0.46983944462693256,0.7018181818181818,0.7174721189591078,0.6868327402135231
20,0.4315329012663468,0.7287671232876712,0.7485928705440901,0.7099644128113879
21,0.3510866113331007,0.725897920604915,0.7741935483870968,0.6832740213523132
22,0.31257889581763226,0.7248576850094878,0.7764227642276422,0.6797153024911032
23,0.2967047393321991,0.7239732569245463,0.7814432989690722,0.6743772241992882
24,0.21858364732369132,0.7173076923076923,0.7803347280334728,0.6637010676156584
25,0.21163123327752817,0.7168784029038112,0.7314814814814815,0.702846975088968
26,0.19563822383465973,0.7276119402985075,0.7647058823529411,0.693950177935943
27,0.18286411788152612,0.7287822878228782,0.7567049808429118,0.702846975088968
28,0.15382020369819974,0.7260663507109004,0.7768762677484787,0.6814946619217082
29,0.15460543787997702,0.7347703842549204,0.7762376237623763,0.697508896797153
30,0.12335609871408214,0.7384898710865563,0.7652671755725191,0.7135231316725978
31,0.12114960084790768,0.7222222222222222,0.752895752895753,0.693950177935943
32,0.1060826661794082,0.7284522706209453,0.7601547388781431,0.699288256227758
33,0.10217658981032994,0.7282809611829943,0.7576923076923077,0.701067615658363
34,0.09299735012261764,0.7187206020696143,0.7624750499001997,0.6797153024911032
35,0.08655366819837819,0.725897920604915,0.7741935483870968,0.6832740213523132
36,0.0904240167659262,0.7338403041825096,0.7877551020408163,0.6868327402135231
37,0.08001340990481169,0.7271062271062271,0.7490566037735849,0.7064056939501779
38,0.06559165664341139,0.7208216619981326,0.7583497053045186,0.6868327402135231
39,0.06864027873329494,0.7349624060150376,0.7788844621513944,0.6957295373665481
40,0.06828982415406601,0.7247191011235955,0.7648221343873518,0.6886120996441281
41,0.05032198195872099,0.7423255813953489,0.7777777777777778,0.7099644128113879
42,0.04644806877426479,0.7353497164461249,0.7842741935483871,0.6921708185053381
43,0.05347054419310197,0.7347310847766637,0.7532710280373832,0.7170818505338078
44,0.04816809685333916,0.736150234741784,0.7793240556660039,0.697508896797153
45,0.052489788635917335,0.7287822878228782,0.7567049808429118,0.702846975088968
46,0.044597032277480415,0.7281279397930385,0.7724550898203593,0.6886120996441281
47,0.04976438698561295,0.7233273056057867,0.7352941176470589,0.7117437722419929
48,0.043758985788925835,0.7274401473296501,0.7538167938931297,0.702846975088968
49,0.03430029620294985,0.7327823691460055,0.7571157495256167,0.7099644128113879
50,0.03283774075300797,0.7330232558139536,0.7680311890838206,0.701067615658363
51,0.03839366850645646,0.7316620241411327,0.7650485436893204,0.701067615658363
52,0.044475267762723175,0.7331486611265005,0.761996161228407,0.7064056939501779
53,0.033948253030362335,0.7380281690140846,0.7813121272365805,0.699288256227758
54,0.03547963111296944,0.7250698974836906,0.761252446183953,0.6921708185053381
55,0.03580827039221059,0.724907063197026,0.7587548638132295,0.693950177935943
56,0.030992069970006527,0.7323420074349442,0.7665369649805448,0.701067615658363
