epoch,train_loss,dev_f1,dev_precision,dev_recall
1,40.78063912730399,0.0,0.0,0.0
2,25.77141619510338,0.0,0.0,0.0
3,17.72073108381261,0.0,0.0,0.0
4,13.37235921328185,0.0,0.0,0.0
5,11.311017351723759,0.0,0.0,0.0
6,7.828458135245277,0.005961251862891206,0.01834862385321101,0.0035587188612099642
7,6.1353854963688255,0.07785888077858881,0.12307692307692308,0.05693950177935943
8,4.7708131237759615,0.3645401822700911,0.34108527131782945,0.3914590747330961
9,3.529533990093919,0.6306592533756951,0.569583931133429,0.7064056939501779
10,2.4963821758989426,0.7674609695973706,0.7129770992366412,0.8309608540925267
11,1.710874370538472,0.8255319148936171,0.7911908646003263,0.8629893238434164
12,1.1323426193226882,0.8367697594501718,0.8089700996677741,0.8665480427046264
13,0.83897964289931,0.8408304498269896,0.8181818181818182,0.8647686832740213
14,0.5816514218439821,0.8496176720475787,0.8130081300813008,0.8896797153024911
15,0.41672364870707196,0.8625429553264604,0.8338870431893688,0.8932384341637011
16,0.3214352782306775,0.8571428571428571,0.8253706754530478,0.891459074733096
17,0.26351697848794237,0.8437233134073442,0.8111658456486043,0.8790035587188612
18,0.21137245886964226,0.8440207972270364,0.8226351351351351,0.8665480427046264
19,0.1490388581010162,0.8445595854922281,0.8204697986577181,0.8701067615658363
20,0.14966149017459057,0.8441780821917808,0.8135313531353136,0.8772241992882562
21,0.12061705224500979,0.857389801210026,0.8336134453781513,0.8825622775800712
22,0.11093147726006847,0.8608247422680413,0.8322259136212624,0.891459074733096
23,0.08730255580339276,0.8527131782945737,0.8263772954924875,0.8807829181494662
24,0.05137560927802748,0.8527131782945737,0.8263772954924875,0.8807829181494662
25,0.06153281269177713,0.8357446808510637,0.800978792822186,0.8736654804270463
26,0.09194483652792342,0.849785407725322,0.8208955223880597,0.8807829181494662
27,0.05784741907171864,0.8517887563884158,0.8169934640522876,0.8896797153024911
28,0.056460581190599116,0.8491525423728813,0.8106796116504854,0.891459074733096
29,0.05015276168864933,0.8549618320610687,0.8168557536466775,0.896797153024911
30,0.05571503196257711,0.8604038630377525,0.8492201039861352,0.8718861209964412
