model,avg_in_domain_f1,avg_cross_domain_f1,generalization_gap,generalization_ratio
bilstm,0.564814648045013,0.5648146480450131,-1.1102230246251565e-16,1.0000000000000002
bilstm_w2v,0.6122369737856532,0.6122369737856532,0.0,1.0
bilstm_w2v_cnn,0.6279078485236497,0.6279078485236496,1.1102230246251565e-16,0.9999999999999998
indobert,0.7685476238306319,0.768547623830632,-1.1102230246251565e-16,1.0000000000000002
indobert_bilstm,0.7541400658532975,0.7541400658532975,0.0,1.0
mbert_bilstm,0.7827877812344194,0.7827877812344194,0.0,1.0
xlm_roberta_bilstm,0.7996369377927487,0.7996369377927487,0.0,1.0
attention_fusion,0.8023408535830985,0.8023408535830985,0.0,1.0
